Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
06/08/2018 15.48;;0;10.358,46;10.358,46;3;0;6.975,00;;96419;8021;TUIfly
06/08/2018 15.56;13/09/2018 17.20;3.726,00;0;3.726,00;2;2.900,00;0;;96418;8022;Scandinavian Airlines System
06/08/2018 16.22;06/09/2018 16.07;2.981,00;0;2.981,00;1;2.325,00;0;;;8023;Scandinavian Airlines System
06/08/2018 16.25;;0;3.720,00;3.720,00;2;0;2.900,00;;98222;8024;Ryan Air Service
06/08/2018 16.25;22/09/2018 14.17;0;11.900,00;11.900,00;4;0;9.300,00;;;8025;Thomas Cook Airlines
06/08/2018 16.30;;0;3.820,00;3.820,00;2;0;2.900,00;;94442;8026;Norwegian Air Shuttle
06/08/2018 16.58;10/09/2018 10.25;7.443,90;0;7.443,90;2;2.900,00;0;;;8027;Norwegian Air Shuttle
06/08/2018 16.58;;0;7.072,31;7.072,31;2;0;4.650,00;;96417;8028;Swiss International Air Lines
06/08/2018 17.06;;0;5.580,00;5.580,00;3;0;4.350,00;;98223;8029;Ryan Air Service
06/08/2018 17.08;;0;4.560,00;4.560,00;2;0;3.460,00;;97400;8030;Norwegian Air Shuttle
06/08/2018 17.17;;0;19.716,93;19.716,93;6;0;13.950,00;;96416;8031;DAT Danish Air Transport
06/08/2018 17.35;10/09/2018 10.25;3.726,00;0;3.726,00;2;2.900,00;0;;96415;8032;Scandinavian Airlines System
06/08/2018 18.04;;0;8.925,00;8.925,00;3;0;6.975,00;;98357;8033;Primera Air Scandinavia A/S
06/08/2018 18.12;23/08/2018 10.03;1.814,12;45,88;1.860,00;1;1.450,00;0;;;8034;EasyJet
06/08/2018 18.14;;0;19.715,15;19.715,15;4;0;13.940,00;;96414;8035;Finnair
06/08/2018 18.32;;0;10.352,56;10.352,56;3;0;6.975,00;;96413;8036;Primera Air Scandinavia A/S
06/08/2018 18.36;;0;8.930,00;8.930,00;2;0;6.970,00;;97679;8037;Ryan Air Service
06/08/2018 19.16;;0;3.720,00;3.720,00;2;0;2.900,00;;98224;8038;Scandinavian Airlines System
06/08/2018 19.29;;0;14.865,94;14.865,94;7;0;10.150,00;;96412;8039;Ryan Air Service
06/08/2018 19.44;17/08/2018 13.34;0;1.860,00;1.860,00;1;0;1.450,00;;;8040;Scandinavian Airlines System
06/08/2018 20.12;;0;2.666,56;2.666,56;1;0;1.450,00;;96411;8041;Lufthansa
06/08/2018 20.20;;0;1.860,00;1.860,00;1;0;1.450,00;;98225;8042;Ryan Air Service
06/08/2018 21.12;;0;3.720,00;3.720,00;2;0;2.900,00;;;8043;KLM Royal Dutch Airlines
06/08/2018 21.18;;0;3.720,00;3.720,00;2;0;2.900,00;;98226;8044;Ryan Air Service
